test_case_number,test_source,test_type,segment,segment_description,segment_active,intent,intent_display_name,intent_active,enabled_for_segment,example_trigger,response_type,expected_response,expected_buttons,total_turns,description,turn_2_input,turn_2_expected_response,turn_2_expected_content,slot_name,user_input_label,source_intent,target_intent,navigation_type,source_response,target_response,user_action,expected_intent
164,matrix,,bt_account_advised_investment,bt_account_advised_investment,Yes,44_CloseAcc_S,44_CloseAcc_S,Yes,Yes,1 am closing my account and need information on the process to follow to complete the task,Segment-specific (bt_account_advised_investment),"To close your Panorama Investment account: 1. Select 'Go to page'. 2. In the 'Rollovers and withdrawals' section, select 'Investment account closure' then follow the prompts. To see the status of your closure request, go to ‘Forms & requests’,  select  ‘Request status. To view the full life cycle of the closure, select the 'Track progress' option on the right hand side of the screen under 'Actions'.",Go to page,,,,,,,,,,,,,,
167,matrix,,bt_account_advised_investment,bt_account_advised_investment,Yes,69_LiveAgent_S,69_LiveAgent_S,Yes,Yes,# for customer care,Segment-specific (bt_account_advised_investment),I may be able to get you additional support. Some of the top things people ask me about are:,Update your details|Buy or sell investment|Account balance|Contact BT|Chat with consultant,,,,,,,,,,,,,,
169,matrix,,bt_account_advised_investment,bt_account_advised_investment,Yes,76_ServiceRequestStatus_S,76_ServiceRequestStatus_S,Yes,Yes,(111) 111-11111 service request number,Segment-specific (bt_account_advised_investment),"You can now view and submit requests for your account via our 'Forms & requests' page on Panorama. Do you want to check the status of a request or submit a new request? Note: To check the status of a request your adviser has submitted, you will need to contact them.",Check status|Submit new request|Financial adviser details,,,,,,,,,,,,,,
203,matrix,,bt_account_advised_investment,bt_account_advised_investment,Yes,bt_client_details,bt_client_details,Yes,Yes,". ""How do I amend client's details",Default,Which contact details would you like to update?,Mobile number|All other details,,,,,,,,,,,,,,
228,matrix,,bt_account_advised_investment,bt_account_advised_investment,Yes,bt_find_forms,bt_find_forms,Yes,Yes,Are the forms listed under reports?,Default,Forms for your account can be accessed via the 'Forms & requests' page.,Forms & requests,,,,,,,,,,,,,,
229,matrix,,bt_account_advised_investment,bt_account_advised_investment,Yes,bt_forgot_username_password,bt_forgot_username_password,Yes,Yes,11111111 reset password,Default,You can edit your username and password under 'Your details'.,Go to page,,,,,,,,,,,,,,
244,matrix,,bt_account_advised_investment,bt_account_advised_investment,Yes,bt_login_failure,bt_login_failure,Yes,Yes,"""I encountered problems when trying to log into internet banking. What should I do? """,Default,Please select which applies to you.,Change Username|Change Password|Log out,,,,,,,,,,,,,,
252,matrix,,bt_account_advised_investment,bt_account_advised_investment,Yes,bt_not_working,bt_not_working,Yes,Yes,Are there any problems currently with the website?,Default,This query might need a little more attention. I'll connect you with one of our helpful consultants who can assist you further. Please select the ‘Chat with consultant’ button.,Chat with consultant,,,,,,,,,,,,,,
273,matrix,,bt_account_advised_investment,bt_account_advised_investment,Yes,bt_tax_and_annual_statements,bt_tax_and_annual_statements,Yes,Yes,#NAME?,Segment-specific (bt_account_advised_investment),Annual and tax statements are generated automatically by BT. These are released after the end of each financial year and are available in the document library. Please note you will have to adjust the date filter to see statements older than 365 days.,Document library|Expected statement dates|Annual statement guide,,,,,,,,,,,,,,
286,matrix,,bt_account_advised_investment,bt_account_advised_investment,Yes,bt_usi_abn,bt_usi_abn,Yes,Yes,ABN SPIN,Segment-specific (bt_account_advised_investment),"The ABN for BT Panorama Super/Pension & BT Super Invest is 90 194 410 365 The USI/SPIN is 90 194 410 365 011. Address:  BT Panorama GPO Box 2861 Adelaide SA 5001 Panorama does not provide an Electronic Service Address, please contact your accountant or SMSF provider for this information.",,,,,,,,,,,,,,,
1827,matrix,,bt_channel_mobile_investor,bt_channel_mobile_investor,Yes,44_CloseAcc_S,44_CloseAcc_S,Yes,Yes,1 am closing my account and need information on the process to follow to complete the task,Segment-specific (bt_channel_mobile),"Depending on the account you wish to close, we may require additional documentation. Forms are available on the full Panorama website.  If you require assistance, select 'Chat with consultant' during business hours.",Chat with consultant,,,,,,,,,,,,,,
1829,matrix,,bt_channel_mobile_investor,bt_channel_mobile_investor,Yes,69_LiveAgent_S,69_LiveAgent_S,Yes,Yes,# for customer care,Default,"To chat with one of our consultants, select the 'Chat with consultant' button. You can also call 1300 881 716 (or +612 9155 4029 outside Australia) from 8:30am to 6:30pm, Monday to Friday (Sydney time) and a consultant will assist you.",Livechat,,,,,,,,,,,,,,
1830,matrix,,bt_channel_mobile_investor,bt_channel_mobile_investor,Yes,76_ServiceRequestStatus_S,76_ServiceRequestStatus_S,Yes,Yes,(111) 111-11111 service request number,Segment-specific (bt_channel_mobile_investor),"To check the status of a service request you have submitted, navigate to 'For you' and select 'Forms & requests'.",,,,,,,,,,,,,,,
1845,matrix,,bt_channel_mobile_investor,bt_channel_mobile_investor,Yes,bt_client_details,bt_client_details,Yes,Yes,". ""How do I amend client's details",Segment-specific (bt_channel_mobile_investor),"To amend your details, navigate to 'Personal details'.",,,,,,,,,,,,,,,
